yil,adres,il,ilce,ilce_kodu,yas_0_14,yas_15_24,yas_25_34,yas_35_49,yas_50_64,yas_65_plus,tum_yas_toplam
2024,Bursa(Büyükorhan)-1783,Bursa,Büyükorhan,1783,955,1062,969,1498,2381,2731,9596
2024,Bursa(Gemlik)-1343,Bursa,Gemlik,1343,22002,15310,17756,28513,23415,16365,123361
2024,Bursa(Gürsu)-1935,Bursa,Gürsu,1935,24637,15045,16421,24179,16600,7985,104867
2024,Bursa(Harmancık)-1799,Bursa,Harmancık,1799,640,583,661,998,1532,1790,6204
2024,Bursa(İnegöl)-1411,Bursa,İnegöl,1411,69555,42819,46914,67552,49142,26269,302251
2024,Bursa(İznik)-1420,Bursa,İznik,1420,7175,5049,5640,9388,10135,7821,45208
2024,Bursa(Karacabey)-1434,Bursa,Karacabey,1434,16139,10836,11540,18027,16629,12797,85968
2024,Bursa(Keles)-1457,Bursa,Keles,1457,957,962,1037,1656,2923,3636,11171
2024,Bursa(Kestel)-1960,Bursa,Kestel,1960,15503,9600,11411,17890,13913,8342,76659
2024,Bursa(Mudanya)-1530,Bursa,Mudanya,1530,16316,11183,13948,24468,24919,19963,110797
2024,Bursa(Mustafakemalpaşa)-1535,Bursa,Mustafakemalpaşa,1535,17793,11868,13065,21401,22235,17219,103581
2024,Bursa(Nilüfer)-1829,Bursa,Nilüfer,1829,105238,80622,88635,144674,93027,49534,561730
2024,Bursa(Orhaneli)-1553,Bursa,Orhaneli,1553,2440,1947,2054,3194,4640,4794,19069
2024,Bursa(Orhangazi)-1554,Bursa,Orhangazi,1554,15154,9893,11510,18698,16111,10745,82111
2024,Bursa(Osmangazi)-1832,Bursa,Osmangazi,1832,177251,115609,133582,214549,155857,88593,885441
2024,Bursa(Yenişehir)-1725,Bursa,Yenişehir,1725,10311,6650,7350,11341,11012,8942,55606
2024,Bursa(Yıldırım)-1859,Bursa,Yıldırım,1859,142654,90783,96450,150963,110386,63762,654998
